"StuID","Reason","LastUpdatedDate"
"1480","CSC +REN +COA","2014-11-18 00:00:00"
"1483","CSC+REN+COA","2014-11-18 00:00:00"
"1486","CSC+ REN +COA","2014-11-19 00:00:00"
"1489","CSC + COA + REN","2014-11-20 00:00:00"
"1497","COV+REV","2014-11-22 00:00:00"
"1498","CSC+REN","2014-11-22 00:00:00"
"1500","CSC","2014-11-22 00:00:00"
"1501","CSC + REN","2014-11-22 00:00:00"
"1508","CSC + REN","2014-11-24 00:00:00"
"1511","CSC + REN","2014-11-25 00:00:00"
"1512","CSC + REN","2014-11-25 00:00:00"
"1518","CSC","2014-11-26 00:00:00"
"1519","CSC + REN","2014-11-26 00:00:00"
"1520","CSC+REN","2014-11-26 00:00:00"
"1526","CSC + REN","2014-11-27 00:00:00"
"1532","CSC + REN","2014-11-29 00:00:00"
"1533","CSC + REN","2014-11-29 00:00:00"
"1536","CSC + REN","2014-12-01 00:00:00"
"1538","CSC + REN","2014-12-01 00:00:00"
"1540","CSC + REN + COA","2014-12-01 00:00:00"
"1542","CSC+COA+REN","2014-12-02 00:00:00"
"1543","CSC + REN","2014-12-02 00:00:00"
"1579","CSC+REN","2014-12-10 00:00:00"
"1580","CSC+REN","2014-12-10 00:00:00"
"1590","CSC +  REN","2014-12-12 00:00:00"
"1604","CSC + REN","2014-12-16 00:00:00"
"1605","CSC + REN + COA","2014-12-16 00:00:00"
"1606","CSC","2014-12-16 00:00:00"
"1607","CSC + REN","2014-12-16 00:00:00"
"1609","CSC","2014-12-16 00:00:00"
"1611","CSC + REN","2014-12-16 00:00:00"
"1615","CSC + REN","2014-12-17 00:00:00"
"1627","CSC + REN","2014-12-20 00:00:00"
"1630","COS+REN+COA","2014-12-20 00:00:00"
"1632","COS+COA","2014-12-23 00:00:00"
"1633","CSC+COA+REN","2014-12-23 00:00:00"
"1646","CSC+REN","2014-12-29 00:00:00"
"1649","CSC+REN","2014-12-30 00:00:00"
"1651","CSC + REN","2014-12-30 00:00:00"
"1659","COA + CSC","2015-01-02 00:00:00"
"1677","CSC + REN","2021-01-14 00:00:00"
"1678","CSC + REN","2015-01-06 00:00:00"
"1679","CSC + REN","2015-01-06 00:00:00"
"1682","CSC + REN + COA","2015-01-06 00:00:00"
"1687","CSC + REN + COA","2015-01-07 00:00:00"
"1693","CSC + REN + COA","2015-01-09 00:00:00"
"1694","CSC+REN","2015-01-10 00:00:00"
"1695","CSC+REN","2015-01-10 00:00:00"
"1696","CSC + REN","2015-01-10 00:00:00"
"1701","CSC+REN+COA","2015-01-12 00:00:00"
"1704","CSC + REN","2015-01-13 00:00:00"
"1706","CSC + REN","2015-01-13 00:00:00"
"1709","CSC + REN","2015-01-13 00:00:00"
"1710","CSC +REN","2015-01-13 00:00:00"
"1715","CSC + REN","2015-01-16 00:00:00"
"1716","CSC + REN","2015-01-16 00:00:00"
"1717","CSC + REN","2015-01-17 00:00:00"
"1754","CSC +COA","2015-01-29 00:00:00"
"1755","CSC+REN","2015-01-31 00:00:00"
"1756","CSC","2015-01-31 00:00:00"
"1757","CSC + REN","2015-01-31 00:00:00"
"1758","CSC + CON + COS","2015-01-31 00:00:00"
"1759","CSC +  REN","2015-01-31 00:00:00"
"1762","CSC + REN","2015-01-31 00:00:00"
"1763","CSC + REN","2015-01-31 00:00:00"
"1766","CSC + REN","2015-01-31 00:00:00"
"1767","CSC","2015-01-31 00:00:00"
"1768","CSC + COA","2015-02-02 00:00:00"
"1769","CSC + REN","2015-02-02 00:00:00"
"1771","CSC + REN","2015-02-02 00:00:00"
"1773","CSC + REN","2015-02-03 00:00:00"
"1805","CSC + REN","2015-02-10 00:00:00"
"1817","CSC + REN","2015-02-20 00:00:00"
"1820","CSC","2015-02-17 00:00:00"
"1821","CSC + REN","2015-02-17 00:00:00"
"1822","CSC + REN + COA","2015-02-18 00:00:00"
"1824","CSC + REN","2015-02-18 00:00:00"
"1830","CSC","2015-02-19 00:00:00"
"1831","CSC + REN","2015-02-19 00:00:00"
"1834","CSC + REN","2015-02-20 00:00:00"
"1835","CSC + REN","2015-02-20 00:00:00"
"1839","CSC + REN","2015-02-20 00:00:00"
"1840","CSC + REN","2015-02-20 00:00:00"
"1841","CSC + COA +REN","2015-02-21 00:00:00"
"1842","CSC + REN","2015-02-21 00:00:00"
"1843","REN + CSC","2015-02-21 00:00:00"
"1844","REN + CSC","2015-02-21 00:00:00"
"1845","REN + CSC","2015-02-21 00:00:00"
"1850","CSC + REN","2015-02-24 00:00:00"
"1852","CSC + COA + REN","2015-02-25 00:00:00"
"1853","CSC +REN","2015-02-25 00:00:00"
"1854","CSC + REN","2015-02-25 00:00:00"
"1855","CSC + REN","2015-02-25 00:00:00"
"1863","REN + CSC","2015-02-28 00:00:00"
"1864","REN +  CSC","2015-02-28 00:00:00"
"1869","CS + REN","2015-03-03 00:00:00"
"1870","CSC + REN","2015-03-03 00:00:00"
"1871","CSC + REN + COA","2015-03-03 00:00:00"
"1872","CSC + REN","2015-03-04 00:00:00"
"1873","CSC  + REN","2015-03-04 00:00:00"
"1877","CSC","2015-03-05 00:00:00"
"1883","CSC + REN + COA","2015-03-10 00:00:00"
"1886","CSC","2015-03-11 00:00:00"
"1887","CSC + REN","2015-03-11 00:00:00"
"1888","CSC + REN","2015-03-11 00:00:00"
"1889","CSC + REN","2015-03-11 00:00:00"
"1894","CSC + REN","2015-03-12 00:00:00"
"1896","CSC + REN + COA","2015-03-12 00:00:00"
"1900","CSC + REN","2015-03-13 00:00:00"
"1906","CSC+REN","2015-04-03 00:00:00"
"1910","CSC + REN","2015-03-18 00:00:00"
"1913","CSC + REN","2015-03-20 00:00:00"
"1914","CSC + REN + COA","2015-03-20 00:00:00"
"1917","CSC + REN + COA","2015-03-20 00:00:00"
"1918","CSC + REN","2015-03-21 00:00:00"
"1919","CSC+REN+COA","2015-03-21 00:00:00"
"1921","CSC+COA","2015-03-23 00:00:00"
"1923","CSC + REN","2015-03-23 00:00:00"
"1924","CSC + REN","2015-03-23 00:00:00"
"1934","CSC + REN + COA","2015-03-26 00:00:00"
"1938","NOC+REN+COA","2015-03-27 00:00:00"
"1946","CSC + REN","2015-04-02 00:00:00"
"1948","CSC + REN","2015-04-02 00:00:00"
"1955","CSC + REN","2015-04-03 00:00:00"
"1958","CSC + REN + COA","2015-04-04 00:00:00"
"1962","CSC + REN","2015-04-06 00:00:00"
"1967","CSC + REN","2015-04-06 00:00:00"
"1968","CSC + REN","2015-04-06 00:00:00"
"1969","CSC+REN","2015-04-07 00:00:00"
"1970","CSC+REN","2015-04-07 00:00:00"
"1971","CSC + REN","2015-04-07 00:00:00"
"1972","CSC + REN","2015-04-07 00:00:00"
"1973","CSC + REN","2015-04-07 00:00:00"
"1974","CSC","2015-04-07 00:00:00"
"1975","CSC + REN","2015-04-07 00:00:00"
"1977","CSC+REN","2015-04-08 00:00:00"
